id,listing_id,image_url,image_type,visual_tags,summary,flags,confidence,analyzed_at,created_at
1,ACT9058258,mlsgrid/IMG-ACT9058258_0.jpg,exterior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:43.851Z,2025-07-05T04:09:43.851Z
2,ACT9058258,mlsgrid/IMG-ACT9058258_1.jpg,living_room,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:45.006Z,2025-07-05T04:09:45.006Z
3,ACT9058258,mlsgrid/IMG-ACT9058258_2.jpg,kitchen,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:45.269Z,2025-07-05T04:09:45.269Z
4,ACT9058258,mlsgrid/IMG-ACT9058258_3.jpg,interior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:47.018Z,2025-07-05T04:09:47.018Z
5,ACT9058258,mlsgrid/IMG-ACT9058258_4.jpg,interior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:47.309Z,2025-07-05T04:09:47.309Z
6,ACT3308658,mlsgrid/IMG-ACT3308658_0.jpg,exterior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:47.736Z,2025-07-05T04:09:47.736Z
7,ACT3308658,mlsgrid/IMG-ACT3308658_1.jpg,living_room,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:47.850Z,2025-07-05T04:09:47.850Z
8,ACT3308658,mlsgrid/IMG-ACT3308658_2.jpg,kitchen,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:47.993Z,2025-07-05T04:09:47.993Z
9,ACT3308658,mlsgrid/IMG-ACT3308658_3.jpg,interior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:48.134Z,2025-07-05T04:09:48.134Z
10,ACT3308658,mlsgrid/IMG-ACT3308658_4.jpg,interior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:50.273Z,2025-07-05T04:09:50.273Z
11,ACT3755150,mlsgrid/IMG-ACT3755150_0.jpg,exterior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:51.971Z,2025-07-05T04:09:51.971Z
12,ACT3755150,mlsgrid/IMG-ACT3755150_1.jpg,living_room,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:52.118Z,2025-07-05T04:09:52.118Z
13,ACT3755150,mlsgrid/IMG-ACT3755150_2.jpg,kitchen,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:52.239Z,2025-07-05T04:09:52.239Z
14,ACT3755150,mlsgrid/IMG-ACT3755150_3.jpg,interior,[],Image analysis unavailable,"[""analysis_failed""]",0,2025-07-05T04:09:52.737Z,2025-07-05T04:09:52.737Z
